PLU_JUAL|PLU_BHN_BAKU|PLU_ADDITIONAL|PLU_PENGGANTI|KET_SPECIAL_REQUEST|VALUE|SATUAN|MAX_PLU_JUAL|MAX_ADD|KELOMPOK_SPCL_REQ
20082342|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20085261|20069028|0|20072104|Soy (S)|1|PCS|0|1|Substitusi
20085262|20069028|0|20072104|Soy (S)|1|PCS|0|1|Substitusi
20085263|20069664|0|20072104||1|PCS|4|0|Substitusi
20085263|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20088164|20069028|0|20072104|Soy (S)|1|PCS|0|1|Substitusi
20092446|20069028|0|20072104|Soy (S)|1|PCS|0|1|Substitusi
20101437|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20099886|20069777|0|20069646||1|PCS|4|0|
20103772|20069027|0|20089523|Decaff Esp (S)|1|PCS|4|1|Substitusi
20103772|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20103773|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20103774|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20103774|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20103278|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20103278|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20103278|20082341|0|20072104|Soy (S)|1|PCS|4|4|Substitusi
20103280|20069027|0|20089523|Decaff Esp (S)|1|PCS|4|1|Substitusi
20103280|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20103280|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20111899|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20111899|20069027|0|20089523|Decaff Esp (S)|1|PCS|4|1|Substitusi
20111899|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20111898|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20111898|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20116844|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20116844|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20116844|20069027|0|20089523|Decaf Esp (S)|1|PCS|4|1|Substitusi
20116852|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20116852|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20122041|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20122041|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20123045|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20123045|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20123045|20069027|0|20089523|Decaf Esp (S)|1|PCS|4|1|Substitusi
20123046|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20123046|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20123046|20069027|0|20089523|Decaf Esp (S)|1|PCS|4|1|Substitusi
20123048|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20123048|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20123049|20069028|0|20122238|Oat Milk (S)|1|PCS|4|1|Substitusi
20123049|20069028|0|20072104|Soy (S)|1|PCS|4|1|Substitusi
20123049|20069027|0|20089523|Decaf Esp (S)|1|PCS|4|1|Substitusi
20124302|20069028|0|20122238|Oat Milk (S)|1|PCS|4|4|Substitusi
20124302|20069028|0|20072104|Soy (S)|1|PCS|4|4|Substitusi
20125091|20069028|0|20122238|Oat Milk (S)|1|PCS|4|0|Substitusi
20125091|20069028|0|20072104|Soy (S)|1|PCS|4|0|Substitusi
20125092|20069028|0|20122238|Oat Milk (S)|1|PCS|4|0|Substitusi
20125092|20069028|0|20072104|Soy (S)|1|PCS|4|0|Substitusi
20125093|20069028|0|20072104|Soy (S)|1|PCS|4|0|Substitusi
20125093|20069028|0|20122238|Oat Milk (S)|1|PCS|4|0|Substitusi
20125093|20069027|0|20089523|Decaff Esp (S)|1|PCS|4|0|Substitusi
