PLU|KEMASAN|BARCODE|QTY|TGL_BERLAKU
10003800|CTN|10089686041702|24|22/07/2021
10003801|CTN|10089686041764|24|22/07/2021
10003813|CTN|18998866600108|12|22/07/2021
10003814|CTN|28886008101057|24|22/07/2021
10003842|CTN|8999988888743|24|22/07/2021
10004032|CTN|08999999013547|12|22/07/2021
10004034|CTN|008999999000578|12|22/07/2021
10004055|CTN|10089686000013|20|22/07/2021
10004067|CTN|18998866100707|12|22/07/2021
10004067|CTN|28998866100193|12|22/07/2021
10004068|CTN|18998866100714|12|22/07/2021
10004237|CTN|8999988888767|24|22/07/2021
10004262|CTN|10089686000068|20|22/07/2021
10004327|CTN|10089686048701|24|22/07/2021
10004331|CTN|18888900400118|20|22/07/2021
10004335|CTN|8994096213685|48|22/07/2021
10004335|CTN|18990368990138|48|22/07/2021
10004335|CTN|8996129803535|48|22/07/2021
10004336|CTN|18990368990145|24|22/07/2021
10004336|CTN|8994096213661|24|22/07/2021
10004336|CTN|8996129803559|24|22/07/2021
10004337|CTN|18990368990152|12|22/07/2021
10004487|CTN|38886008101047|48|22/07/2021
10004534|CTN|10089686011033|40|22/07/2021
10004610|CTN|20055500130201|12|22/07/2021
10004612|CTN|20055500130225|12|22/07/2021
10004668|CTN|18998009010245|24|22/07/2021
10004669|CTN|18998009010238|24|22/07/2021
10004676|CTN|18998009010221|24|22/07/2021
10004778|CTN|18993007000212|40|22/07/2021
10004779|CTN|18993007000236|40|22/07/2021
10004780|CTN|18993007000250|40|22/07/2021
10005128|CTN|18996006142518|24|22/07/2021
10005246|CTN|18998866601785|6|22/07/2021
10005344|CTN|20055500130249|12|22/07/2021
10005441|CTN|18998866601976|5|22/07/2021
10005442|CTN|58992628094158|12|22/07/2021
10005475|CTN|18889196124118|24|22/07/2021
10005481|CTN|08999999089696|24|22/07/2021
10005481|CTN|08999999012328|24|22/07/2021
10005481|CTN|8999999089696|24|22/07/2021
10005482|CTN|08999999012335|12|22/07/2021
10005482|CTN|08999999089689|12|22/07/2021
10005482|CTN|08999999139360|12|22/07/2021
10005482|CTN|08999999187156|12|22/07/2021
10005482|CTN|8999999131791|12|22/07/2021
10005802|CTN|18998866601877|12|22/07/2021
10005803|CTN|18998866601846|12|22/07/2021
10005838|CTN|8992826111188|6|22/07/2021
10005839|CTN|18992946121026|6|22/07/2021
10006263|CTN|18999908034226|50|22/07/2021
10006782|CTN|10041790001652|12|22/07/2021
10007379|CTN|18998009010559|24|22/07/2021
10007380|CTN|18998009010566|24|22/07/2021
10007385|CTN|18998009030038|24|22/07/2021
10007389|CTN|18998866602737|12|22/07/2021
10007970|CTN|08999999090067|24|22/07/2021
10007970|CTN|18998009020183|24|22/07/2021
10007971|CTN|18998009020176|24|22/07/2021
10007972|CTN|08999999173685|24|22/07/2021
10007972|CTN|18998009020220|24|22/07/2021
10007973|CTN|18998009020190|24|22/07/2021
10007974|CTN|08999999173692|24|22/07/2021
10007974|CTN|18998009020213|24|22/07/2021
10008095|CTN|18998009010573|24|22/07/2021
10008104|CTN|18998866602744|12|22/07/2021
10008581|CTN|8999988888170|24|22/07/2021
10008590|CTN|10041790001508|12|22/07/2021
10008825|CTN|18998009010597|40|22/07/2021
10008826|CTN|18998009010603|40|22/07/2021
10008887|CTN|18998009050050|24|22/07/2021
10008989|CTN|3899262802053|6|22/07/2021
10008989|CTN|38992628020153|6|22/07/2021
10009014|CTN|18992779228407|12|22/07/2021
10009014|CTN|18992779228404|12|22/07/2021
10009296|CTN|18992753017659|36|22/07/2021
10009296|CTN|18992753017658|36|22/07/2021
10010074|BOX|8998989811019|10|07/09/2021
10010074|CTN||200|22/07/2021
10010075|BOX|8998989811026|10|07/09/2021
10010075|CTN|8998989011020|100|22/07/2021
10010077|BOX|8998989812115|10|07/09/2021
10010077|CTN|8998989012119|100|22/07/2021
10010078|BOX|8998989810012|20|07/09/2021
10010078|CTN|8998989010016|200|07/09/2021
10010080|BOX|8998989850117|10|07/09/2021
10010080|CTN|8998989050111|200|22/07/2021
10010081|CTN||200|22/07/2021
10010081|BOX|8991906151014|10|07/09/2021
10010082|BOX|8991906151021|10|07/09/2021
10010082|CTN||100|22/07/2021
10010083|BOX|8991906151649|10|07/09/2021
10010083|CTN||200|22/07/2021
10010084|BOX|8991906151052|10|07/09/2021
10010084|CTN||100|22/07/2021
10010088|BOX|8999909000605|10|07/09/2021
10010088|BOX|8999909172234|10|07/09/2021
10010088|CTN||200|22/07/2021
10010090|BOX|8999909999442|10|07/09/2021
10010090|CTN||100|22/07/2021
10010091|BOX|8999909424999|10|07/09/2021
10010091|CTN||100|22/07/2021
10010094|BOX|8999909830233|10|07/09/2021
10010094|BOX|8999909000407|10|07/09/2021
10010094|CTN||200|22/07/2021
10010100|BOX|7616400001573|10|07/09/2021
10010100|CTN||500|22/07/2021
10010100|BOX|0028200108203|10|07/09/2021
10010102|BOX|7623900001033|10|07/09/2021
10010102|CTN||500|22/07/2021
10010102|BOX|0028200106902|10|07/09/2021
10010105|CTN||200|22/07/2021
10010105|BOX|8994214459452|10|07/09/2021
10010112|CTN||500|22/07/2021
10010112|BOX|8998181101116|10|07/09/2021
10010113|BOX|8998181111115|10|07/09/2021
10010113|CTN||500|22/07/2021
10010232|CTN|18998899940646|24|22/07/2021
10010232|CTN|28992694103128|24|22/07/2021
10010480|CTN|8999999011802|12|22/07/2021
10010480|CTN|08999999011802|12|22/07/2021
10010683|CTN|18992727001486|12|22/07/2021
10010804|CTN|18993496000144|12|22/07/2021
10010805|CTN|18993496000151|6|22/07/2021
10011235|CTN|18992779259408|12|22/07/2021
10011440|CTN|18998866603406|12|22/07/2021
10012104|CTN||200|22/07/2021
10012104|BOX|8991906151663|10|07/09/2021
10012338|CTN|58992628022151|12|22/07/2021
10012548|CTN|18998866603536|12|22/07/2021
10012753|CTN|38992628032156|6|22/07/2021
10013027|CTN|18993351179612|12|22/07/2021
10013100|CTN|58992628034154|12|22/07/2021
10013107|CTN|18998866602928|12|22/07/2021
10013134|CTN|18998866603635|6|22/07/2021
10013135|CTN|8998866603598|6|22/07/2021
10013135|CTN|18998866603598|6|22/07/2021
10013689|CTN|18998866601532|12|22/07/2021
10014260|CTN|08999999011239|12|22/07/2021
10014263|CTN|08999999017026|12|22/07/2021
10014263|CTN|08999999011277|12|22/07/2021
10014292|CTN|10089686060468|24|22/07/2021
10014293|CTN|10089686060369|24|22/07/2021
10014404|CTN|09556001051585|24|22/07/2021
10014526|BOX|8991906151076|10|07/09/2021
10014526|CTN||100|22/07/2021
10014528|CTN||100|22/07/2021
10014528|BOX|8991906151120|10|07/09/2021
10015532|CTN|28886008101330|24|22/07/2021
10016899|CTN|10089686043713|40|22/07/2021
10018962|CTN|05633906|12|22/07/2021
10018962|CTN|18886030633901|12|22/07/2021
10019363|CTN|18886015726109|6|22/07/2021
10019614|CTN|18998009010917|40|22/07/2021
10019615|CTN|18998009010924|40|22/07/2021
10023789|CTN|18998866200308|40|22/07/2021
10023790|CTN|18998866200315|40|22/07/2021
10023791|CTN|18998866200339|40|22/07/2021
10023792|CTN|18998866200322|40|22/07/2021
10024523|BOX|8993989311668|10|07/09/2021
10024523|CTN||100|22/07/2021
10024665|CTN|8992761112141|24|22/07/2021
10024667|CTN|8992761112134|24|22/07/2021
10025196|CTN|10041790004103|12|22/07/2021
10025292|CTN|8992761112226|24|22/07/2021
10025295|BOX|8999909005860|10|07/09/2021
10025295|CTN||200|22/07/2021
10025482|CTN|18998866604946|6|22/07/2021
10025646|CTN|18886030653916|12|22/07/2021
10025647|CTN|18886030653909|12|22/07/2021
10025991|CTN|9556156033948|24|22/07/2021
10025994|CTN|9556156033917|24|22/07/2021
10027688|CTN|08076809022552|15|22/07/2021
10028192|CTN|68801056025818|30|22/07/2021
10030034|CTN|087303802708|20|22/07/2021
10030189|CTN|10089686915706|40|22/07/2021
10030733|CTN||100|22/07/2021
10030733|BOX|8999909038899|10|07/09/2021
10030804|CTN|8992761162016|24|22/07/2021
10030804|CTN|8992761113025|24|22/07/2021
10030805|CTN|8992761162030|24|22/07/2021
10030806|CTN|8992761162023|24|22/07/2021
10030924|CTN|18998866602089|12|22/07/2021
10030924|CTN|18998866614655|12|22/07/2021
10031203|CTN|18998866605813|6|22/07/2021
10033138|CTN|10089686816027|24|22/07/2021
10033567|CTN|0738989886024|24|22/07/2021
10033567|CTN|8997225200242|24|22/07/2021
10034797|CTN|18992753016591|36|22/07/2021
10034797|CTN|18992753006806|36|22/07/2021
10034798|CTN|18992753006783|36|22/07/2021
10034798|CTN|18992753016607|36|22/07/2021
10035179|CTN|18998990217012|144|22/07/2021
10035179|BOX|28998990217019|12|06/09/2021
10035852|CTN|18993118731326|40|22/07/2021
10035954|CTN|10089686910299|40|22/07/2021
10035954|CTN|10089686910305|40|22/07/2021
10035955|CTN|10089686011279|40|22/07/2021
10035955|CTN|10089686011286|40|22/07/2021
10036386|CTN|18998866605646|12|22/07/2021
10036640|CTN|18998009040020|24|22/07/2021
10036644|CTN|18888196120714|24|22/07/2021
10036646|CTN|18998009010634|12|22/07/2021
10036647|CTN|18998009010627|12|22/07/2021
10037229|CTN|8998899113074|12|22/07/2021
10037254|CTN|18992779226403|12|22/07/2021
10037437|CTN|8999988888729|24|22/07/2021
10039897|CTN|18997009510014|30|22/07/2021
10039897|CTN|18997009510021|30|22/07/2021
20000786|CTN|09556001025265|24|22/07/2021
20000787|CTN|09556001047168|24|22/07/2021
20000980|CTN|78992772190533|24|22/07/2021
20001402|CTN|8994096222588|12|22/07/2021
20001407|CTN|8994096222571|12|22/07/2021
20001645|CTN|08999999012304|12|22/07/2021
20002178|BOX|8995078803177|10|07/09/2021
20002178|CTN|08995078801777|100|22/07/2021
20002900|BOX|8998181751113|10|07/09/2021
20002900|CTN||500|22/07/2021
20002901|BOX|8998181781110|10|07/09/2021
20002901|CTN||500|22/07/2021
20003466|CTN|18992727002476|12|22/07/2021
20003784|CTN|8992388101030|24|22/07/2021
20003786|CTN|8992388101047|24|22/07/2021
20004283|BOX|8999909000919|10|07/09/2021
20004283|CTN||100|22/07/2021
20005529|CTN|8992982216000|24|22/07/2021
20005530|CTN|8992982211500|12|22/07/2021
20005742|CTN|18998866200445|40|22/07/2021
20005835|CTN|8992761139216|24|22/07/2021
20007397|BOX|8998181761112|10|07/09/2021
20007397|CTN||500|22/07/2021
20007764|BOX|8993989311217|10|07/09/2021
20007764|CTN||0|22/07/2021
20007834|CTN|10089686910381|40|22/07/2021
20008767|CTN|10089686770039|24|22/07/2021
20008785|CTN|100896867700406|12|22/07/2021
20008785|CTN|10089686770046|12|22/07/2021
20009274|CTN|18992779225502|24|22/07/2021
20009274|CTN|18992779225505|24|22/07/2021
20009722|CTN|18997035563411|24|22/07/2021
20009737|CTN|18997009510052|30|22/07/2021
20009737|CTN|18997009510069|30|22/07/2021
20010142|BOX|4902210200903|10|07/09/2021
20010142|CTN||0|22/07/2021
20010655|CTN|8991102374408|6|22/07/2021
20010960|BOX|8801116200443|10|07/09/2021
20010960|BOX|8997032822019|10|07/09/2021
20010960|CTN|18997032823013|500|22/07/2021
20010961|BOX|8801116200405|10|07/09/2021
20010961|CTN||500|22/07/2021
20010961|BOX|8997032822026|10|07/09/2021
20011214|CTN|18998866200506|40|22/07/2021
20012007|CTN|18998866607350|12|22/07/2021
20012188|CTN|18998866607312|12|22/07/2021
20012572|CTN|8992761124045|12|22/07/2021
20012572|CTN|8992761129521|12|22/07/2021
20012573|CTN|8992761124052|12|22/07/2021
20012573|CTN|8992761129514|12|22/07/2021
20012574|CTN|8992761124014|12|22/07/2021
20012574|CTN|8992761129538|12|22/07/2021
20012933|CTN|8992761124021|12|22/07/2021
20012933|CTN|8992761129545|12|22/07/2021
20014023|CTN|6920238016120|24|22/07/2021
20014023|CTN|6920238061069|24|22/07/2021
20014024|CTN|6920238061076|24|22/07/2021
20014027|CTN|6920238015123|24|22/07/2021
20014027|CTN|6920238061014|24|22/07/2021
20014069|CTN|18992753005496|12|22/07/2021
20014069|CTN|18992753018861|12|22/07/2021
20014071|CTN|18992753005489|12|22/07/2021
20014071|CTN|18992753018908|12|22/07/2021
20014321|CTN|8992761137243|12|22/07/2021
20014608|CTN|18999908260205|50|22/07/2021
20014954|CTN|09556001054081|24|22/07/2021
20015039|CTN|18998899994939|12|22/07/2021
20015239|CTN|8991102377805|6|22/07/2021
20015250|CTN|18998009011518|40|22/07/2021
20015368|CTN|0738989714099|35|22/07/2021
20015368|CTN|8997225200068|35|22/07/2021
20015838|CTN|18997035563541|24|22/07/2021
20016245|CTN|10089686061021|24|22/07/2021
20016245|CTN|20089686061028|24|22/07/2021
20016246|CTN|10089686061120|24|22/07/2021
20016246|CTN|20089686061127|24|22/07/2021
20016247|CTN|10089686061076|24|22/07/2021
20016247|CTN|10089686851076|24|22/07/2021
20016247|CTN|20089686061073|24|22/07/2021
20017225|CTN|18998009011204|12|22/07/2021
20018435|CTN|8992858527353|24|22/07/2021
20018658|CTN|8992761137236|12|22/07/2021
20019179|CTN|08992696417953|24|22/07/2021
20019180|CTN|08992696417939|24|22/07/2021
20019315|CTN|18992946521185|24|22/07/2021
20019478|CTN|6920238019121|30|22/07/2021
20019479|CTN|6920238017127|30|22/07/2021
20019479|CTN|6920238090649|30|22/07/2021
20019480|CTN|6920238018124|30|22/07/2021
20019481|CTN|6920238023128|30|22/07/2021
20019482|CTN|6920238020127|30|22/07/2021
20019597|CTN|08992696418363|36|22/07/2021
20019597|CTN|08992696428225|36|22/07/2021
20019597|CTN|08992696430273|36|22/07/2021
20019597|CTN|08992696523074|36|22/07/2021
20019673|CTN|18997009510113|24|22/07/2021
20019674|CTN|18997009510120|24|22/07/2021
20019930|CTN|10089686011187|40|22/07/2021
20019930|CTN|10089686011811|40|22/07/2021
20020226|CTN|08999999166632|12|22/07/2021
20020226|CTN|08999999019204|12|22/07/2021
20020226|CTN|08999999175856|12|22/07/2021
20020230|CTN|08999999166731|6|22/07/2021
20020230|CTN|08999999016630|6|22/07/2021
20020245|CTN|08999999175863|12|22/07/2021
20020245|CTN|08999999015466|12|22/07/2021
20020245|CTN|08999999166687|12|22/07/2021
20020285|CTN|18992753019035|24|22/07/2021
20020285|CTN|18992753017208|24|22/07/2021
20021178|CTN|8992761167035|12|22/07/2021
20021178|CTN|8992761167721|12|22/07/2021
20022403|CTN|08999999018245|12|22/07/2021
20022403|CTN|08999999137885|12|22/07/2021
20022403|CTN|08999999151188|12|22/07/2021
20022403|CTN|8999999125370|12|22/07/2021
20022403|CTN|08999999125370|12|22/07/2021
20022431|CTN|901389752|24|22/07/2021
20022431|CTN|9002490100094|24|22/07/2021
20022698|CTN|08999999018368|6|22/07/2021
20023029|CTN|08999999018375|12|22/07/2021
20023111|CTN|18999908264104|12|22/07/2021
20023114|CTN|20055500130256|12|22/07/2021
20023120|CTN|20055500130263|12|22/07/2021
20024324|CTN|10089686011699|40|22/07/2021
20024509|CTN|18998866608326|12|22/07/2021
20024597|CTN|18997009780233|24|22/07/2021
20024599|CTN|18997009780257|24|22/07/2021
20024737|CTN|18992779217101|12|22/07/2021
20025359|CTN|18997035600321|6|22/07/2021
20025415|CTN|10089686060741|12|22/07/2021
20025415|CTN|10089686060789|12|22/07/2021
20025416|CTN|10089686060758|12|22/07/2021
20025416|CTN|10089686060772|12|22/07/2021
20025418|CTN|18998866200575|40|22/07/2021
20025752|CTN|18992753018818|36|22/07/2021
20025753|CTN|18992753018793|36|22/07/2021
20026226|CTN|18998009040136|12|22/07/2021
20026305|CTN|18992727003688|8|22/07/2021
20027530|CTN|18998866608456|24|22/07/2021
20027768|CTN|08992696419759|36|22/07/2021
20027768|CTN|08992696428737|36|22/07/2021
20027768|CTN|8992696522978|36|22/07/2021
20027963|CTN|18997010250060|12|22/07/2021
20028254|CTN|10089686010593|40|22/07/2021
20028779|CTN|18997010250022|12|22/07/2021
20028793|CTN|18999510800110|24|22/07/2021
20029054|CTN|8991102800068|24|22/07/2021
20029306|CTN|18992779218900|12|22/07/2021
20029731|BOX|8998989400398|10|07/09/2021
20029731|CTN||100|22/07/2021
20029782|CTN|18998866608555|12|22/07/2021
20030446|CTN|18998866607343|6|22/07/2021
20030446|CTN|8998866607343|6|22/07/2021
20031344|CTN|38992772480261|24|22/07/2021
20031552|CTN|8883241263944|6|22/07/2021
20031775|CTN|18992718833119|30|22/07/2021
20031847|CTN|8999999066444|12|22/07/2021
20031847|CTN|8999999093525|12|22/07/2021
20032099|CTN|10089686040644|20|22/07/2021
20032100|CTN|10089686040163|20|22/07/2021
20032111|CTN|07622300030100|6|22/07/2021
20032250|CTN|78992772190236|24|22/07/2021
20032503|CTN|8992761138059|12|22/07/2021
20032519|CTN|18997009510137|30|22/07/2021
20032643|CTN|18998009011211|24|22/07/2021
20032643|CTN|18998009011211	|24|22/07/2021
20032644|CTN|18998009010269|24|22/07/2021
20032971|CTN|8992761112158|24|22/07/2021
20033458|CTN||100|22/07/2021
20033458|BOX|8991911151016|10|07/09/2021
20033546|CTN|18993351129614|12|22/07/2021
20033547|CTN|18993351179711|12|22/07/2021
20033558|CTN|18888107000333|60|22/07/2021
20034077|CTN|18992753033741|36|22/07/2021
20034078|CTN|18992753033734|36|22/07/2021
20034079|CTN|18992753033727|36|22/07/2021
20034080|CTN|18992753033710|36|22/07/2021
20034450|CTN|18998866105153|12|22/07/2021
20034888|CTN|18851932207703|4|22/07/2021
20034993|CTN|08992696422667|36|22/07/2021
20034993|CTN|8992696522893|36|22/07/2021
20034993|CTN|08992696428744|36|22/07/2021
20035391|CTN|0648436140107|20|22/07/2021
20035484|CTN|28996001600140|24|22/07/2021
20035484|CTN|18996001600143|24|22/07/2021
20035535|CTN|14710363035993|12|22/07/2021
20035536|CTN|14710363035979|12|22/07/2021
20035544|CTN|8992761167141|12|22/07/2021
20035544|CTN|8992761167714|12|22/07/2021
20035736|CTN|9556007960416|24|22/07/2021
20035737|CTN|9556007960423|24|22/07/2021
20035816|CTN|8888640249834|24|22/07/2021
20036047|CTN|18998866608722|12|22/07/2021
20036135|CTN|8997009672487|6|22/07/2021
20036467|CTN|14902430358580|8|22/07/2021
20036765|CTN|8992761129569|12|22/07/2021
20036765|CTN|8992761125035|12|22/07/2021
20036808|CTN|18992727004388|8|22/07/2021
20037042|CTN|8992761146016|12|22/07/2021
20037042|CTN|8992761146511|12|22/07/2021
20037043|CTN|8992761146023|12|22/07/2021
20037043|CTN|8992761146528|12|22/07/2021
20037044|CTN|8992761146030|12|22/07/2021
20037044|CTN|8992761146535|12|22/07/2021
20037136|CTN|18801128945070|24|22/07/2021
20037137|CTN|18801128945285|24|22/07/2021
20037144|CTN|18995227500275|24|22/07/2021
20037150|CTN|18995227500244|24|22/07/2021
20037152|CTN|18995227500121|48|22/07/2021
20037153|CTN|18995227500268|24|22/07/2021
20037326|BOX|8991906151267|10|07/09/2021
20037326|CTN||100|22/07/2021
20037326|BOX|8991906151274|10|07/09/2021
20037446|CTN|08999999071530|12|22/07/2021
20037446|CTN|8999999093532|12|22/07/2021
20037446|CTN|089999990993532|12|22/07/2021
20037446|CTN|08999999093532|12|22/07/2021
20037535|CTN|08992696424487|36|22/07/2021
20037535|CTN|08992696523098|36|22/07/2021
20037535|CTN|089992696424487|36|22/07/2021
20037535|CTN|8992696424487|36|22/07/2021
20037565|CTN|18996001600204|12|22/07/2021
20037566|CTN|18993496107065|6|22/07/2021
20037588|BOX|8801116001408|10|07/09/2021
20037588|BOX|8997032822033|10|07/09/2021
20037588|CTN|18801116001009|500|22/07/2021
20037607|CTN|09556001174642|24|22/07/2021
20037702|CTN|10089686917335|24|22/07/2021
20037703|CTN|10089686917342|24|22/07/2021
20037849|CTN|18992753033642|36|22/07/2021
20037850|CTN|18992753033659|36|22/07/2021
20037974|CTN|18998009010252|24|22/07/2021
20037976|CTN|18995108001655|24|22/07/2021
20038143|CTN||100|22/07/2021
20038143|BOX|8998989400077|10|07/09/2021
20038491|CTN|14902430844748|12|22/07/2021
20038491|CTN|14902430358634|12|22/07/2021
20038726|CTN|8997002057625|24|22/07/2021
20039178|CTN|24010057796|500|22/07/2021
20039178|BOX|8998127514147|10|07/09/2021
20039541|CTN|68992772550132|24|22/07/2021
20039541|CTN|68992772550248|24|22/07/2021
20039725|CTN|8801056412722|72|22/07/2021
20039732|CTN|09555376800070|24|22/07/2021
20039866|CTN|18998866608999|6|22/07/2021
20040276|CTN|38992772580244|24|22/07/2021
20040315|CTN|08997010253194|12|22/07/2021
20040484|CTN|8850987123559|12|22/07/2021
20040485|CTN|8850987123443|12|22/07/2021
20040486|CTN|8850987123467|12|22/07/2021
20040738|CTN|18992779238403|12|22/07/2021
20040738|CTN|18992779238406|12|22/07/2021
20040929|CTN|8850987131714|60|22/07/2021
20040930|CTN|8850987131257|60|22/07/2021
20040941|CTN|087303803187|24|22/07/2021
20041325|CTN|18991001770469|6|22/07/2021
20041483|CTN|18998866608913|6|22/07/2021
20041573|CTN|08999999081065|12|22/07/2021
20041573|CTN|28719200171378|12|22/07/2021
20041574|CTN|08999999081041|6|22/07/2021
20041574|CTN|28719200171385|6|22/07/2021
20041609|CTN|18992779037204|12|22/07/2021
20042466|CTN|18998866609040|12|22/07/2021
20042848|CTN|18850389108182|24|22/07/2021
20042859|CTN|18850389108168|24|22/07/2021
20042860|CTN|18850389108175|24|22/07/2021
20043389|BOX|8997018460167|10|07/09/2021
20043389|CTN|8997018460129|500|22/07/2021
20043713|CTN|38992628311152|6|22/07/2021
20043877|CTN|18998866500705|24|22/07/2021
20043877|CTN|18998866501177|24|22/07/2021
20044199|CTN|10089686010715|40|22/07/2021
20044208|CTN|18991688890733|24|22/07/2021
20044334|CTN|18996006859713|24|22/07/2021
20044467|CTN|18888107000272|12|22/07/2021
20045052|CTN|8994096213708|24|22/07/2021
20045092|BOX|8998989850223|10|07/09/2021
20045092|CTN||200|22/07/2021
20045093|BOX|8998968540015|10|07/09/2021
20045093|CTN||100|22/07/2021
20045099|BOX|8994214984954|10|07/09/2021
20045099|CTN||100|22/07/2021
20045180|CTN|10089686017752|24|22/07/2021
20045181|CTN|10089686017745|24|22/07/2021
20045374|CTN|8992761125080|12|22/07/2021
20045374|CTN|8992761129590|12|22/07/2021
20045413|CTN|08999999069117|6|22/07/2021
20045415|CTN|18996001600228|24|22/07/2021
20045609|CTN|18998866200858|12|22/07/2021
20045610|CTN|18998866200834|12|22/07/2021
20045611|CTN|18998866200810|12|22/07/2021
20045673|CTN|18991002121000|24|22/07/2021
20045674|CTN|18991002121017|24|22/07/2021
20045931|CTN|18997011067100|32|22/07/2021
20045982|CTN|18997011067209|32|22/07/2021
20045995|CTN|18995227501012|24|22/07/2021
20046080|BOX|8998989400084|10|07/09/2021
20046080|CTN||100|22/07/2021
20046279|BOX|8991906151366|10|07/09/2021
20046279|CTN||100|22/07/2021
20046314|CTN|8992761164669|12|22/07/2021
20046314|CTN|8992761164782|12|22/07/2021
20046315|CTN|8992761164799|12|22/07/2021
20046315|CTN|8992761164676|12|22/07/2021
20046317|CTN|8992933652314|24|22/07/2021
20046318|CTN|8992933651317|24|22/07/2021
20046319|CTN|18995227500589|24|22/07/2021
20046409|CTN|8992696425323|36|22/07/2021
20046409|CTN|08992696428775|36|22/07/2021
20046409|CTN|08992696425323|36|22/07/2021
20046409|CTN|8992696522992|36|22/07/2021
20046548|CTN|18998866609187|6|22/07/2021
20046794|BOX|4033100014666|10|07/09/2021
20046794|BOX|4033100077654|10|07/09/2021
20046794|CTN||500|22/07/2021
20046862|CTN|18998009011648|40|22/07/2021
20046911|CTN|8992775712610|12|22/07/2021
20046911|CTN|8992775712719|12|22/07/2021
20047163|CTN|18998899940691|24|22/07/2021
20047244|CTN|18850389108458|24|22/07/2021
20047245|CTN|18850389108441|24|22/07/2021
20047247|CTN|18992752091124|18|22/07/2021
20047432|CTN|08999999087432|24|22/07/2021
20048021|BOX|8998989400152|10|07/09/2021
20048021|CTN||200|22/07/2021
20048096|CTN|18851028001345|24|22/07/2021
20048155|CTN|18996001600259|24|22/07/2021
20048155|CTN|28996001600256|24|22/07/2021
20048359|CTN|18998866200926|40|22/07/2021
20048435|CTN|18998009040181|24|22/07/2021
20048546|CTN|18999908389104|24|22/07/2021
20048585|CTN|10089686870012|12|22/07/2021
20048585|CTN|10089686870043|12|22/07/2021
20048585|CTN|10089888870043|12|22/07/2021
20048746|BOX|8991906151106|10|07/09/2021
20048746|CTN||100|22/07/2021
20048849|CTN|10089686043683|40|22/07/2021
20049226|CTN|18992727005484|8|22/07/2021
20049556|CTN|18998866200933|40|22/07/2021
20049610|CTN|10089686018018|24|22/07/2021
20051675|CTN|8995078804778|100|22/07/2021
20051675|BOX|8995078809018|10|07/09/2021
20052031|CTN|18998866106167|12|22/07/2021
20052260|CTN||500|22/07/2021
20052260|BOX|8997032822194|10|07/09/2021
20052321|CTN|18998866608739|6|22/07/2021
20052391|CTN|18998866200841|12|22/07/2021
20052583|CTN|8801073121331|40|22/07/2021
20052583|CTN|18801073121338|40|22/07/2021
20052629|CTN|8996129804075|24|22/07/2021
20053058|CTN|18992727005309|12|22/07/2021
20053059|CTN|18992727005286|12|22/07/2021
20053168|CTN|28719200171736|6|22/07/2021
20053168|CTN|08999999082130|6|22/07/2021
20053540|CTN|38992772580268|24|22/07/2021
20053745|CTN|8993175537827|6|22/07/2021
20053796|CTN|18998866803691|12|22/07/2021
